yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
80822024,8082,2024,ME0010000,ME0010000,,N,N,,I,ANDROSCOGGIN,ANDROSCOGGIN CO SO AUBURN,Androscoggin,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,County,29491,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,28,0,28,2,2,4,1.0,1.1,2003-07-01,2020-01-01,2020-01-01,2020-04-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80832024,8083,2024,ME0010100,ME0010100,,N,N,,I,AUBURN,AUBURN PD,Auburn,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,25038,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,43,1,44,2,5,7,1.8,2.0,2003-07-01,2007-04-01,2007-04-01,2012-04-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80842024,8084,2024,ME0010200,ME0010200,,N,N,,I,LEWISTON,LEWISTON PD,Lewiston,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,38850,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,73,5,78,5,8,13,2.0,2.3,2003-07-01,2007-01-01,2007-01-01,2012-04-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80852024,8085,2024,ME0010300,ME0010300,,N,N,,I,LIVERMORE FALLS,LIVERMORE FALLS PD,Livermore Falls,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,3123,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,0,0,0,1.6,1.6,2003-07-01,2021-01-01,2021-06-01,2021-06-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80862024,8086,2024,ME0010500,ME0010500,,N,N,,I,LISBON,LISBON POLICE DEPARTMENT,Lisbon,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,9731,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,3,18,2,3,5,1.7,2.4,2003-07-01,2007-04-01,2007-04-01,2012-06-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80872024,8087,2024,ME0010600,ME0010600,,N,N,,I,MECHANIC FALLS,MECHANIC FALLS PD,Mechanic Falls,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,3143,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,0,0,0,1.9,1.9,2003-07-01,2020-04-01,2021-06-01,2021-06-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80882024,8088,2024,ME0010700,ME0010700,,N,N,,I,SABATTUS,SABATTUS PD,Sabattus,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,5161,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,4,0,4,2,1,3,1.2,1.4,2003-07-01,2020-01-01,2020-01-01,2020-02-01,,,N,ANDROSCOGGIN,"Lewiston-Auburn, ME",Y,Y,Y
80922024,8092,2024,ME0020000,ME0020000,,N,N,,I,AROOSTOOK,AROOSTOOK CO SO HOULTON,Aroostook,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,County,32535,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,17,6,23,1,2,3,0.6,0.8,2003-07-01,2021-01-01,2021-12-01,2021-12-01,2021-12-01,2021-12-01,N,AROOSTOOK,Not Specified,Y,Y,Y
80942024,8094,2024,ME0020200,ME0020200,,N,N,,I,FORT FAIRFIELD,FORT FAIRFIELD PD,Fort Fairfield,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,3343,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,0,0,0,1.5,1.5,2003-07-01,2021-01-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,AROOSTOOK,Not Specified,Y,Y,Y
80952024,8095,2024,ME0020300,ME0020300,,N,N,,I,FORT KENT,FORT KENT PD,Fort Kent,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,4273,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,2,7,1,2,3,1.4,2.3,2003-07-01,2021-01-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,AROOSTOOK,Not Specified,Y,Y,Y
80962024,8096,2024,ME0020400,ME0020400,,N,N,,I,HOULTON,HOULTON PD,Houlton,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,6080,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,3,5,8,2.0,2.8,2003-07-01,2021-01-01,2021-03-01,2021-03-01,2021-12-01,2021-12-01,N,AROOSTOOK,Not Specified,Y,Y,Y
80972024,8097,2024,ME0020500,ME0020500,,N,N,,I,MADAWASKA,MADAWASKA PD,Madawaska,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,3863,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,0,1,1,2.3,2.6,2003-07-01,2020-12-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,AROOSTOOK,Not Specified,Y,Y,Y
80982024,8098,2024,ME0020600,ME0020600,,N,N,,I,PRESQUE ISLE,PRESQUE ISLE PD,Presque Isle,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,8642,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,3,17,3,4,7,2.0,2.8,2003-07-01,2021-01-01,2021-03-01,2021-03-01,2021-10-01,2021-10-01,N,AROOSTOOK,Not Specified,Y,Y,Y
81002024,8100,2024,ME0020800,ME0020800,,N,N,,I,ASHLAND,ASHLAND PD,Ashland,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,1208,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,0,1,4.1,4.1,2003-07-01,2021-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,AROOSTOOK,Not Specified,Y,Y,Y
81072024,8107,2024,ME0030000,ME0030000,,N,N,,I,CUMBERLAND,CUMBERLAND CO SO PORTLAND,Cumberland,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,County,55062,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,53,5,58,8,7,15,1.1,1.3,2003-07-01,2019-06-01,2020-06-01,2020-06-01,2020-06-01,2020-06-01,N,CUMBERLAND,"Portland-South Portland, ME",Y,Y,Y
81082024,8108,2024,ME0030100,ME0030100,,N,N,,I,BRUNSWICK,BRUNSWICK PD,Brunswick,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,22662,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,33,5,38,2,10,12,1.5,2.2,2003-07-01,2019-12-01,2020-07-01,2020-12-01,2025-02-01,2025-02-01,N,CUMBERLAND,"Portland-South Portland, ME",Y,Y,Y
81092024,8109,2024,ME0030200,ME0030200,,N,N,,I,CAPE ELIZABETH,CAPE ELIZABETH PD,Cape Elizabeth,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,9610,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,1,14,1,0,1,1.5,1.6,2003-07-01,2021-01-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01,N,CUMBERLAND,"Portland-South Portland, ME",Y,Y,Y
81102024,8110,2024,ME0030300,ME0030300,,N,N,,I,FALMOUTH,FALMOUTH PD,Falmouth,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,13004,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,18,4,22,3,5,8,1.6,2.3,2003-07-01,2020-07-01,2020-09-01,2020-09-01,,,N,CUMBERLAND,"Portland-South Portland, ME",Y,Y,Y
81112024,8111,2024,ME0030400,ME0030400,,N,N,,I,GORHAM,GORHAM PD,Gorham,,A,25,Maine,ME,ME,1,New England,1,Northeast,Region I,City,18344,23373,MEUCR0001,Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,20,0,20,2,2,4,1.2,1.3,2003-07-01,2020-12-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,N,CUMBERLAND,"Portland-South Portland, ME",Y,Y,Y
